"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","HTTP","",""
"pre_128cipher","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cartographie.societenumerique.gouv.fr/18.67.65.28","443","OK","not offered","",""
"SSLv3","cartographie.societenumerique.gouv.fr/18.67.65.28","443","OK","not offered","",""
"TLS1","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","not offered","",""
"TLS1_1","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","not offered","",""
"TLS1_2","cartographie.societenumerique.gouv.fr/18.67.65.28","443","OK","offered","",""
"TLS1_3","cartographie.societenumerique.gouv.fr/18.67.65.28","443","OK","offered with final","",""
"ALPN_HTTP2","cartographie.societenumerique.gouv.fr/18.67.65.28","443","OK","h2","",""
"ALPN","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","http/1.1","",""
"cipherlist_NULL","cartographie.societenumerique.gouv.fr/18.67.65.28","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cartographie.societenumerique.gouv.fr/18.67.65.28","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cartographie.societenumerique.gouv.fr/18.67.65.28","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cartographie.societenumerique.gouv.fr/18.67.65.28","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","not offered","",""
"cipherlist_STRONG","cartographie.societenumerique.gouv.fr/18.67.65.28","443","OK","offered","",""
"cipher_order-tls1_2","cartographie.societenumerique.gouv.fr/18.67.65.28","443","OK","server","",""
"cipherorder_TLSv1_2","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","cartographie.societenumerique.gouv.fr/18.67.65.28","443","OK","server","",""
"protocol_negotiated","cartographie.societenumerique.gouv.fr/18.67.65.28","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","cartographie.societenumerique.gouv.fr/18.67.65.28","443","OK","TLS_AES_128_GCM_SHA256, 253 bit ECDH (X25519)","",""
"FS","cartographie.societenumerique.gouv.fr/18.67.65.28","443","OK","offered","",""
"FS_ciphers","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","cartographie.societenumerique.gouv.fr/18.67.65.28","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","'server name/#0' 'EC point formats/#11' 'renegotiation info/#65281' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'status request/#5' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","valid for 86400 seconds only (<daily)","",""
"SSL_sessionID_support","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","yes","",""
"sessionresumption_ticket","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","supported","",""
"sessionresumption_ID","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","not supported","",""
"TLS_timestamp","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","random","",""
"certificate_compression","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","none","",""
"clientAuth","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","none","",""
"cert_numbers","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","1","",""
"cert_signatureAlgorithm","cartographie.societenumerique.gouv.fr/18.67.65.28","443","OK","SHA256 with RSA","",""
"cert_keySize","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","028DEE4CE667FAE0E30807C2F7601513","",""
"cert_serialNumberLen","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","16","",""
"cert_fingerprintSHA1","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","23526A5717B545A90E0F78EB724B18AD5CBB1F6C","",""
"cert_fingerprintSHA256","cartographie.societenumerique.gouv.fr/18.67.65.28","443","INFO","9F580BF57199681373DD4E77A11A41E9F6371C40412D27BE076DAD538E466B34","",""
